,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
0,0,0,0,0,0,0,0.0,1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393
1,1,1,1,1,1,1,1.0,2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41
2,2,2,2,2,2,2,2.0,3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
3,3,3,3,3,3,3,3.0,4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118
4,4,4,4,4,4,4,4.0,5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
5,5,5,5,5,5,5,5.0,6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
6,6,6,6,6,6,6,6.0,7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
7,7,7,7,7,7,7,7.0,8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38
8,8,8,8,8,8,8,8.0,9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308
9,9,9,9,9,9,9,9.0,10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
10,10,10,10,10,10,10,10.0,11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29
11,11,11,11,11,11,11,11.0,12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093
12,12,12,12,12,12,12,12.0,13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082
13,13,13,13,13,13,13,13.0,14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316
14,14,14,14,14,14,14,14.0,15,England,7.054,1.333,1.538,0.996,0.45,0.348,0.278
15,15,15,15,15,15,15,15.0,16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31
16,16,16,16,16,16,16,16.0,17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265
17,17,17,17,17,17,17,17.0,18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21
18,18,18,18,18,18,18,18.0,19,USA,6.892,1.433,1.457,0.874,0.454,0.28,0.128
