"LOCATION","Reporter country","FLOW","Flow","PARTNER","Partner country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EXP","Exports","AUT","Austria","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,10131195,,
"AUS","Australia","EXP","Exports","AUT","Austria","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,10128601,,
"AUS","Australia","EXP","Exports","AUT","Austria","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,10127528,,
"AUS","Australia","EXP","Exports","AUT","Austria","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,9087538,,
"AUS","Australia","EXP","Exports","AUT","Austria","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,7334642,,
"AUS","Australia","EXP","Exports","AUT","Austria","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,14653464,,
"AUS","Australia","EXP","Exports","AUT","Austria","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,13727145,,
"AUS","Australia","EXP","Exports","AUT","Austria","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,14674994,,
"AUS","Australia","EXP","Exports","BEL","Belgium","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,295878097,,
"AUS","Australia","EXP","Exports","BEL","Belgium","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,274292102,,
"AUS","Australia","EXP","Exports","BEL","Belgium","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,130164890,,
"AUS","Australia","EXP","Exports","BEL","Belgium","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,265215295,,
"AUS","Australia","EXP","Exports","BEL","Belgium","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,448725358,,
"AUS","Australia","EXP","Exports","BEL","Belgium","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,426217572,,
"AUS","Australia","EXP","Exports","BEL","Belgium","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,277156583,,
"AUS","Australia","EXP","Exports","BEL","Belgium","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,595094302,,
"AUS","Australia","EXP","Exports","CAN","Canada","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,298834088,,
"AUS","Australia","EXP","Exports","CAN","Canada","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,255525250,,
"AUS","Australia","EXP","Exports","CAN","Canada","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,222500374,,
"AUS","Australia","EXP","Exports","CAN","Canada","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,268341074,,
"AUS","Australia","EXP","Exports","CAN","Canada","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,285938514,,
"AUS","Australia","EXP","Exports","CAN","Canada","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,349897843,,
"AUS","Australia","EXP","Exports","CAN","Canada","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,378309096,,
